Team,Tier,Win Rate,Pick Rate,Matches,Rank,Season
"Black Widow, Hawkeye",D,21.74%,0.33%,23,Grandmaster,season0
"Groot, Jeff The Land Shark, Rocket Raccoon",S,75.00%,0.24%,4,Eternity,season0
"Squirrel Girl, Spider Man",S,75.00%,0.48%,8,Eternity,season0
"Psylocke, Magik, Black Panther",S,68.18%,1.31%,22,Eternity,season0
"Luna Snow, Jeff The Land Shark, Namor",A,60.00%,4.48%,75,Eternity,season0
"Venom, Peni Parker, Spider Man",A,60.00%,0.30%,5,Eternity,season0
"Adam Warlock, Star Lord, Mantis",S,59.08%,50.62%,848,Eternity,season0
"Doctor Strange, Hulk, Iron Man",S,55.82%,27.70%,464,Eternity,season0
"Captain America, Thor, Storm",B,55.56%,0.54%,9,Eternity,season0
"Black Widow, Hawkeye",B,55.56%,0.54%,9,Eternity,season0
"Wolverine, Hulk",A,55.46%,7.10%,119,Eternity,season0
"Mister Fantastic, Invisible Woman",B,53.23%,7.06%,62,Eternity,season0
"Iron Fist, Luna Snow",B,51.11%,8.06%,135,Eternity,season0
"Hela, Loki, Thor",D,48.21%,3.34%,56,Eternity,season0
"Magneto, Scarlet Witch",D,44.00%,2.98%,50,Eternity,season0
"Cloak & Dagger, Moon Knight",D,38.13%,8.30%,139,Eternity,season0
"Winter Soldier, Rocket Raccoon, The Punisher",D,37.97%,4.72%,79,Eternity,season0
"Captain America, Thor, Storm",S,100.00%,0.08%,1,One Above All,season0
"Adam Warlock, Star Lord, Mantis",S,61.15%,60.68%,785,One Above All,season0
"Iron Fist, Luna Snow",A,56.39%,10.28%,133,One Above All,season0
"Luna Snow, Jeff The Land Shark, Namor",B,55.56%,3.48%,45,One Above All,season0
"Mister Fantastic, Invisible Woman",A,55.29%,16.79%,"10,460",One Above All,season0
"Doctor Strange, Hulk, Iron Man",A,53.03%,30.61%,396,One Above All,season0
"Wolverine, Hulk",B,51.02%,7.58%,98,One Above All,season0
"Groot, Jeff The Land Shark, Rocket Raccoon",C,50.00%,0.31%,4,One Above All,season0
"Black Widow, Hawkeye",D,46.15%,1.00%,13,One Above All,season0
"Winter Soldier, Rocket Raccoon, The Punisher",D,43.59%,3.01%,39,One Above All,season0
