Hero,Tier,Win Rate,WR Change,Pick Rate,PR Change,Ban Rate,Matches,Rank,Season
Mantis,S,55.30%,N/A,40.45%,N/A,0.00%,"33,654",Platinum,season0
Black Panther,A,54.88%,N/A,9.76%,N/A,0.00%,"8,116",Platinum,season0
Iron Man,A,54.50%,N/A,14.97%,N/A,0.00%,"12,451",Platinum,season0
Peni Parker,S,54.34%,N/A,28.46%,N/A,0.00%,"23,676",Platinum,season0
Adam Warlock,A,54.23%,N/A,11.72%,N/A,0.00%,"9,749",Platinum,season0
Loki,A,53.88%,N/A,16.53%,N/A,0.00%,"13,752",Platinum,season0
Rocket Raccoon,A,53.73%,N/A,22.33%,N/A,0.00%,"18,580",Platinum,season0
Hulk,A,53.39%,N/A,19.64%,N/A,0.00%,"16,337",Platinum,season0
Hela,S,53.37%,N/A,32.00%,N/A,0.00%,"26,621",Platinum,season0
Iron Fist,B,53.12%,N/A,4.26%,N/A,0.00%,"3,547",Platinum,season0
Storm,B,52.51%,N/A,2.30%,N/A,0.00%,"1,916",Platinum,season0
Thor,A,52.43%,N/A,19.86%,N/A,0.00%,"16,524",Platinum,season0
Psylocke,A,52.11%,N/A,20.52%,N/A,0.00%,"17,068",Platinum,season0
Doctor Strange,S,51.78%,N/A,52.91%,N/A,0.00%,"44,015",Platinum,season0
Namor,A,50.81%,N/A,20.30%,N/A,0.00%,"16,892",Platinum,season0
Star Lord,B,50.36%,N/A,11.88%,N/A,0.00%,"9,884",Platinum,season0
Wolverine,B,50.28%,N/A,7.31%,N/A,0.00%,"6,080",Platinum,season0
Captain America,C,50.13%,N/A,5.27%,N/A,0.00%,"4,383",Platinum,season0
Spider Man,B,50.11%,N/A,8.40%,N/A,0.00%,"6,992",Platinum,season0
Groot,A,50.02%,N/A,23.26%,N/A,0.00%,"19,349",Platinum,season0
Luna Snow,S,49.90%,N/A,54.70%,N/A,0.00%,"45,505",Platinum,season0
Hawkeye,B,49.56%,N/A,13.52%,N/A,0.00%,"11,246",Platinum,season0
The Punisher,B,48.53%,N/A,17.56%,N/A,0.00%,"14,608",Platinum,season0
Magneto,B,48.23%,N/A,17.68%,N/A,0.00%,"14,712",Platinum,season0
Winter Soldier,B,47.37%,N/A,13.84%,N/A,0.00%,"11,513",Platinum,season0
Scarlet Witch,D,46.85%,N/A,6.24%,N/A,0.00%,"5,189",Platinum,season0
Venom,C,46.65%,N/A,13.57%,N/A,0.00%,"11,290",Platinum,season0
Squirrel Girl,D,46.40%,N/A,4.84%,N/A,0.00%,"4,026",Platinum,season0
Moon Knight,B,46.26%,N/A,16.80%,N/A,0.00%,"13,980",Platinum,season0
Cloak & Dagger,A,46.14%,N/A,46.00%,N/A,0.00%,"38,271",Platinum,season0
Jeff The Land Shark,D,45.01%,N/A,11.46%,N/A,0.00%,"9,534",Platinum,season0
Black Widow,D,40.46%,N/A,0.93%,N/A,0.00%,776,Platinum,season0
Mister Fantastic,,0.00%,N/A,0.00%,N/A,0.00%,0,Platinum,season0
Invisible Woman,,0.00%,N/A,0.00%,N/A,0.00%,0,Platinum,season0
Magik,A,56.43%,N/A,12.13%,N/A,0.81%,"13,971",Diamond,season0
Black Panther,B,55.09%,N/A,11.97%,N/A,8.45%,"13,780",Diamond,season0
Peni Parker,A,54.37%,N/A,22.47%,N/A,1.18%,"25,873",Diamond,season0
Mantis,S,54.18%,N/A,48.79%,N/A,2.62%,"56,180",Diamond,season0
Iron Fist,B,54.07%,N/A,3.15%,N/A,0.22%,"3,623",Diamond,season0
Iron Man,B,54.00%,N/A,11.88%,N/A,2.18%,"13,685",Diamond,season0
Hulk,A,53.83%,N/A,12.17%,N/A,45.25%,"14,019",Diamond,season0
Rocket Raccoon,A,53.64%,N/A,27.36%,N/A,0.14%,"31,505",Diamond,season0
Loki,B,53.08%,N/A,17.94%,N/A,0.33%,"20,664",Diamond,season0
Hela,S,52.99%,N/A,17.10%,N/A,47.69%,"19,690",Diamond,season0
Adam Warlock,B,52.89%,N/A,12.63%,N/A,0.13%,"14,540",Diamond,season0
Wolverine,B,52.78%,N/A,9.67%,N/A,1.37%,"11,139",Diamond,season0
Psylocke,A,52.58%,N/A,26.21%,N/A,1.89%,"30,187",Diamond,season0
Doctor Strange,S,52.11%,N/A,61.83%,N/A,3.79%,"71,198",Diamond,season0
Storm,B,51.57%,N/A,2.59%,N/A,0.22%,"2,986",Diamond,season0
Thor,B,51.48%,N/A,18.38%,N/A,0.13%,"21,165",Diamond,season0
Star Lord,B,51.18%,N/A,15.57%,N/A,0.30%,"17,928",Diamond,season0
Captain America,B,50.89%,N/A,4.16%,N/A,0.07%,"4,789",Diamond,season0
Namor,B,50.73%,N/A,24.04%,N/A,1.37%,"27,679",Diamond,season0
Luna Snow,S,50.68%,N/A,43.96%,N/A,25.41%,"50,624",Diamond,season0
Spider Man,B,50.68%,N/A,6.97%,N/A,0.95%,"8,027",Diamond,season0
Hawkeye,A,50.49%,N/A,7.06%,N/A,52.97%,"8,133",Diamond,season0
Groot,B,49.91%,N/A,24.80%,N/A,0.47%,"28,556",Diamond,season0
Magneto,B,49.11%,N/A,26.18%,N/A,0.14%,"30,143",Diamond,season0
The Punisher,B,48.95%,N/A,23.50%,N/A,0.34%,"27,056",Diamond,season0
Winter Soldier,B,47.51%,N/A,20.10%,N/A,0.23%,"23,143",Diamond,season0
Scarlet Witch,C,47.36%,N/A,3.42%,N/A,0.09%,"3,938",Diamond,season0
Venom,C,46.83%,N/A,10.24%,N/A,0.09%,"11,787",Diamond,season0
Cloak & Dagger,B,45.91%,N/A,45.89%,N/A,0.23%,"52,845",Diamond,season0
Squirrel Girl,D,45.46%,N/A,4.26%,N/A,0.15%,"4,905",Diamond,season0
Moon Knight,C,44.60%,N/A,14.56%,N/A,0.30%,"16,770",Diamond,season0
Jeff The Land Shark,D,43.43%,N/A,8.05%,N/A,0.20%,"9,275",Diamond,season0
Black Widow,D,41.52%,N/A,0.98%,N/A,0.17%,"1,132",Diamond,season0
Mister Fantastic,,0.00%,N/A,0.00%,N/A,0.00%,0,Diamond,season0
Invisible Woman,,0.00%,N/A,0.00%,N/A,0.00%,0,Diamond,season0
Magik,B,55.44%,N/A,13.78%,N/A,1.32%,"7,506",Grandmaster,season0
Adam Warlock,B,54.59%,N/A,17.15%,N/A,0.31%,"9,340",Grandmaster,season0
Black Panther,B,54.44%,N/A,14.99%,N/A,7.43%,"8,163",Grandmaster,season0
Iron Fist,B,53.78%,N/A,3.60%,N/A,0.21%,"1,960",Grandmaster,season0
Mantis,S,53.63%,N/A,60.01%,N/A,4.13%,"32,681",Grandmaster,season0
Hulk,A,53.40%,N/A,11.14%,N/A,45.16%,"6,064",Grandmaster,season0
Wolverine,B,53.01%,N/A,11.49%,N/A,1.89%,"6,256",Grandmaster,season0
Peni Parker,B,52.89%,N/A,11.02%,N/A,0.84%,"5,999",Grandmaster,season0
Star Lord,B,52.70%,N/A,22.72%,N/A,0.70%,"12,375",Grandmaster,season0
Loki,B,52.65%,N/A,20.09%,N/A,0.36%,"10,938",Grandmaster,season0
Storm,B,51.94%,N/A,2.50%,N/A,0.21%,"1,363",Grandmaster,season0
Doctor Strange,S,51.93%,N/A,68.34%,N/A,3.46%,"37,217",Grandmaster,season0
Iron Man,B,51.92%,N/A,9.84%,N/A,1.60%,"5,356",Grandmaster,season0
